mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
المدينة المنورة,,حي الملك فهد,شرق,سكني أو تجاري,65,625,2080
جدة,شمال جدة,حي الشاطئ,3 شوارع,سكني أو تجاري,50,110000,6500
جدة,شمال جدة,حي الصوارى,غرب,سكني,16,550,1500
جدة,شمال جدة,حي الصفا,شرق,سكني,15,937,3300
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني,20,701,828
الرياض,شرق الرياض,حي قرطبة,3 شوارع,,30,4740,3000
الخبر,,حي الكوثر,جنوب شرقي,سكني,30,1341,648
الخبر,,حي الكوثر,شمال,سكني,20,770,909
الخبر,,حي اللؤلؤ,شمال شرقي,سكني,20,948,1050
الرياض,شمال الرياض,حي المعذر الشمالي,3 شوارع,سكني,20,3500,4000
الرياض,شرق الرياض,حي النسيم الشرقي,غرب,,40,750,2000
الرياض,شرق الرياض,حي الرمال,4 شوارع,,20,15000,950
الرياض,شمال الرياض,حي النفل,3 شوارع,سكني,20,11008,3000
الرياض,شمال الرياض,حي الفلاح,شمال غربي,سكني,20,750,4000
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,441,2300
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,15,8480,3500
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20,1677,3700
الرياض,غرب الرياض,حي عرقة,شمال,,25,500,3000
الرياض,غرب الرياض,حي عرقة,جنوب شرقي,سكني,16,759,3200
الرياض,شمال الرياض,حي الربيع,3 شوارع,سكني,20,1140,4000
الرياض,شمال الرياض,حي الوادي,شمال,سكني,15,325,2923
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,739,4000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,,25,500,3000
الخبر,,حي الرجاء,جنوب,سكني,20,393,954
الرياض,غرب الرياض,حي لبن,غرب,سكني,15,400,2400
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,1050,4600
الرياض,غرب الرياض,حي عرقة,شمال,سكني,16,490,2250
الدرعية,,حي الدرعية الجديدة,3 شوارع,سكني,30,22000,400
الرياض,شرق الرياض,حي الملك فيصل,جنوب,تجاري,30,750,3000
ثادق,,حي الجنادرية,4 شوارع,,15,1255,199
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,375,3500
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,35,850,2400
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني,20,1500,2400
الرياض,غرب الرياض,حي ظهرة لبن,جنوب غربي,سكني,20,556,2200
الزلفي,,حي الفالح,شمال,سكني,15,684,271
جدة,شمال جدة,حي ابحر الجنوبية,شرق,سكني,10,300,2666
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15,625,2650
الخبر,,حي الكوثر,شرق,سكني,30,875,834
بريدة,,حي الاخضر,غرب,,15,450,350
الرياض,شمال الرياض,حي حطين,جنوب,تجاري,60,1950,3700
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20,9700,700
الدرعية,,حي الخالدية,3 شوارع,سكني,20,988,4200
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15,1800,3200
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,825,4400
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25,700,4500
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,720,2650
الخبر,,حي التحلية,غرب,سكني,20,357,1540
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,1350,3000
الخبر,,حي العقيق,شرق,سكني,20,392,943
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,720,2800
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,750,4000
جدة,شمال جدة,حي الزمرد,شرق,,30,620,520
الرياض,شرق الرياض,حي الاندلس,غرب,,15,693,2100
الرياض,شمال الرياض,حي الملقا,شمال غربي,,25,1236,4200
بريدة,,حي الرحاب,غرب,سكني,15,500,302
الرياض,شمال الرياض,حي الملقا,شمال,,25,825,4500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15,450,3600
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15,1500,2600
الخبر,,حي الامواج,شرق,سكني,20,628,1003
بريدة,,حي الجامعيين,جنوب شرقي,سكني,15,600,359
بريدة,,حي مخطط الرواف,شمال,سكني,15,728,500
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,20,750,3200
الرياض,شرق الرياض,حي الازدهار,شرق,,20,720,3200
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20,480,4000
الرياض,غرب الرياض,حي المهدية,شرق,سكني,15,472,1250
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,20,1750,4900
الخبر,,حي اللؤلؤ,شمال غربي,سكني,20,880,931
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,525,2600
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,15,452,3500
الرياض,شمال الرياض,حي النخيل,شرق,,15,2250,4500
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,15,900,2950
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,900,3650
الرياض,جنوب الرياض,حي النور,شمال غربي,تجاري,25,1050,1100
الرياض,شمال الرياض,حي العقيق,شمال,سكني,20,225,4000
الهفوف,,حي الواحة,جنوب,سكني,15,780,250
الرياض,غرب الرياض,حي المهدية,جنوب غربي,سكني أو تجاري,35,400,1800
جدة,شمال جدة,حي ابحر الشمالية,جنوب,سكني,25,690,2681
الرياض,شمال الرياض,حي الملقا,غرب,سكني,15,525,4300
الهفوف,,حي الواحة,4 شوارع,سكني,15,2336,1200
الرياض,شرق الرياض,حي المونسية,غرب,سكني أو تجاري,30,1400,2500
جدة,شمال جدة,حي المحمدية,شمال شرقي,سكني,15,918,4901
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,28,6400,4200
الخبر,,حي العقيق,جنوب,سكني,30,700,822
الرياض,شرق الرياض,حي الخليج,جنوب غربي,تجاري,40,1890,2500
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,360,2900
الرياض,شمال الرياض,حي بنبان,شمال,,25,840,833
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,15,726,3800
الخبر,,حي الصواري,شمال شرقي,سكني,15,650,1040
الزلفي,,حي قرطبة,جنوب,سكني,30,1338,246
الخبر,,حي التحلية,3 شوارع,سكني,20,1610,1500
الخبر,,حي الشراع,جنوب,تجاري,60,875,2228
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني,20,5821,2850
جدة,شمال جدة,حي الحمراء,شمال غربي,سكني,20,10000,2300
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني أو تجاري,36,2500,3600
الرياض,شمال الرياض,حي الصحافة,شمال,سكني أو تجاري,60,2031,4700
الرياض,شمال الرياض,حي بنبان,جنوب,,15,1500,680
ثادق,,حي الجنادرية,غرب,سكني,15,600,116
الرياض,شمال الرياض,حي بنبان,شمال,,20,1500,650
الرياض,شرق الرياض,حي الازدهار,جنوب,سكني,15,552,3500
الظهران,,حي الدوحة الشمالية,شمال,سكني,20,446,2500
الرياض,غرب الرياض,حي الحزم,غرب,سكني,20,3025,1350
الرياض,شمال الرياض,حي العارض,جنوب,سكني أو تجاري,15,750,2500
رابغ,,حي الصليب الشرقي,شرق,سكني,15,700,285
الرياض,جنوب الرياض,حي العزيزية,شمال,تجاري,40,1751,2000
جدة,شمال جدة,حي الشاطئ,جنوب غربي,سكني,20,745,7114
الخبر,,حي الخور,3 شوارع,تجاري,60,4457,2700
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,36,2500,3500
الرياض,شمال الرياض,حي حطين,شمال,سكني,30,1925,6500
الرياض,شرق الرياض,حي الرمال,جنوب,,15,400,1550
الدمام,,حي المنار,3 شوارع,سكني,30,808,1500
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,12,540,3600
جدة,شمال جدة,حي الزمرد,غرب,سكني,16,868,665
جدة,شمال جدة,حي الرياض,غرب,سكني,15,900,260
الرياض,غرب الرياض,حي ضاحية نمار,غرب,,10,460,800
الرياض,شرق الرياض,حي النسيم الغربي,جنوب,سكني,20,770,1700
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,1128,2670
الرياض,شرق الرياض,حي الخليج,جنوب,سكني,15,600,2200
جدة,شمال جدة,حي الشراع,شرق,سكني,16,400,2250
الخبر,,حي المرجان,شمال,سكني,20,1153,520
الرياض,شرق الرياض,حي الشهداء,جنوب,,36,1500,5000
الدرعية,,حي الخالدية,غرب,سكني,15,375,2800
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15,448,1700
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25,450,4300
الرياض,شمال الرياض,حي الملقا,4 شوارع,,25,800,4200
الهفوف,,حي العزيزية,شرق,سكني,15,400,737
الرياض,شرق الرياض,حي الجزيرة,شمال,سكني,18,974,3000
الخبر,,حي البحيرة,شرق,سكني,20,687,1250
الرياض,غرب الرياض,حي عرقة,جنوب شرقي,سكني,16,759,3500
المدينة المنورة,,حي شوران,غرب,سكني,15,874,783
الرياض,شرق الرياض,حي الرمال,4 شوارع,,60,9163,1100
الرياض,شرق الرياض,حي الشرق,شمال,سكني,15,864,277
الرياض,غرب الرياض,حي طويق,جنوب غربي,سكني,25,675,2000
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,20,3046,2300
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,15,750,613
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,30,10200,2500
الرياض,شرق الرياض,حي القادسية,جنوب غربي,,30,750,2150
الرياض,غرب الرياض,حي عرقة,شمال,تجاري,40,625,4500
الخبر,,حي المرجان,جنوب,سكني,20,875,571
الرياض,جنوب الرياض,حي عريض,جنوب غربي,سكني أو تجاري,35,900,666
الرياض,شمال الرياض,حي العقيق,شمال شرقي,سكني,30,1600,4100
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30,1050,3500
الخبر,,حي الرجاء,شرق,سكني,20,840,833
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,12,1040,2850
مكة المكرمة,,حي الحجون,جنوب غربي,سكني أو تجاري,100,675,74074
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15,1116,3600
بريدة,,حي الجامعيين,4 شوارع,سكني أو تجاري,60,5212,500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,560,4820
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15,450,3400
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,900,2500
الخبر,,حي العقيق,جنوب,سكني,40,600,750
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,20,900,722
الرياض,شمال الرياض,حي النرجس,شمال,سكني,25,660,3300
الرياض,شمال الرياض,حي الغدير,شرق,سكني,15,1200,4400
جدة,شمال جدة,حي الصوارى,شرق,سكني,32,887,1920
جدة,شمال جدة,حي الرياض,جنوب,سكني,16,900,244
الدمام,,حي الفيصلية,غرب,سكني,30,990,1700
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,20,373,2300
الخبر,,حي اللؤلؤ,شرق,سكني,30,480,958
الخبر,,حي الرجاء,جنوب غربي,,20,433,946
الخبر,,حي العقيق,شرق,تجاري,60,1205,829
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15,437,4200
الرياض,شمال الرياض,حي الفلاح,جنوب,,15,560,3300
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,800,4000
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,36,2522,4000
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,20,480,4300
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,810,3000
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60,2003,4000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,375,3100
الرياض,شمال الرياض,حي الياسمين,شرق,سكني,15,420,3600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,450,2800
الرياض,شمال الرياض,حي الغدير,شمال,سكني,20,600,4000
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,495,2900
الرياض,شمال الرياض,حي المروج,غرب,سكني,16,875,2600
الرياض,شمال الرياض,حي المحمدية,شمال,سكني,15,820,3800
جدة,شمال جدة,حي الصوارى,غرب,,30,900,2000
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,60,4062,6500
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25,2487,4000
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,700,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20,500,2900
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,14,754,3300
الرياض,شمال الرياض,حي الملقا,شرق,تجاري,36,2385,4200
الرياض,شرق الرياض,حي اشبيلية,غرب,تجاري,60,910,2600
جازان,,حي الشاطئ,شمال شرقي,,20,684,1096
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,15,925,3000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,525,4400
الرياض,شمال الرياض,حي الملقا,شمال,,30,1800,4200
جدة,شمال جدة,حي ابحر الجنوبية,شرق,تجاري,50,2000,8000
جدة,شمال جدة,حي الامواج,شمال شرقي,سكني,16,500,2200
الرياض,وسط الرياض,حي النموذجية,4 شوارع,سكني أو تجاري,35,948,3164
ابها,,حي القرى,شمال,,30,660,909
الرياض,شمال الرياض,حي النخيل,شمال,سكني,20,800,4000
الرياض,شرق الرياض,حي الملك فيصل,غرب,سكني,20,750,2150
الرياض,شرق الرياض,حي القادسية,4 شوارع,سكني أو تجاري,35,3600,2000
الدرعية,,حي الدرعية الجديدة,غرب,,20,795,800
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,30,625,2800
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,900,3000
الرياض,غرب الرياض,حي ام الحمام الغربي,جنوب شرقي,سكني,15,1000,1800
الدرعية,,حي الخالدية,جنوب غربي,سكني,40,2500,3000
جدة,شمال جدة,حي الاصالة,شرق,سكني,16,600,1666
جدة,جنوب جدة,حي المسرة,شرق,سكني,,900,450
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,50,16800,700
الهفوف,,حي المزروع,شرق,سكني,15,1000,1250
جدة,شمال جدة,حي اللؤلؤ,جنوب,سكني,20,400,2000
الرياض,شمال الرياض,حي العارض,غرب,تجاري,60,3000,4500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,832,4800
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني أو تجاري,80,184000,700
الخبر,,حي الحمرا,جنوب,سكني أو تجاري,40,1237,3000
بيش,,حي بيش,غرب,غير محدد,40,202921,150
الرياض,شمال الرياض,حي حطين,شمال غربي,سكني,20,1050,4100
الخبر,,حي المرجان,جنوب غربي,سكني,15,1200,542
المزاحمية,,حي الغطغط,3 شوارع,سكني,40,1185000,26
جدة,شمال جدة,حي الزمرد,شمال,سكني,16,900,611
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15,550,1545
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15,350,2400
الرياض,جنوب الرياض,حي بدر,جنوب,تجاري,36,728,1050
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20,450,3300
الدرعية,,حي الخالدية,جنوب شرقي,سكني,20,775,3900
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30,1050,3200
الرياض,غرب الرياض,حي الرفيعة,غرب,سكني,15,710,2450
الخبر,,حي العقيق,شرق,سكني,20,776,850
جدة,شمال جدة,حي ابحر الشمالية,شرق,سكني,16,720,2777
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20,600,3500
الرياض,شرق الرياض,حي النهضة,شمال,سكني أو تجاري,30,1500,2200
الرياض,غرب الرياض,حي عرقة,جنوب شرقي,سكني,15,759,3500
الخبر,,حي العقيق,جنوب شرقي,سكني,15,715,909
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15,303,2700
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20,2100,4500
الرياض,جنوب الرياض,حي الدار البيضاء,شرق,سكني,20,750,1400
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني,20,5820,2800
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,36,1800,3900
الرياض,شرق الرياض,حي القادسية,شرق,سكني,15,875,1650
الدرعية,,حي شمال الدرعية,شرق,سكني,18,887,3500
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,20,5280,3200
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني,30,6500,4500
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني أو تجاري,60,4831,1250
جدة,شمال جدة,حي الياقوت,جنوب شرقي,سكني,25,677,2141
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,20,1500,2650
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,560,4700
الرياض,غرب الرياض,حي الرفيعة,شرق,سكني,20,460,2200
الرياض,شمال الرياض,حي الرحمانية,غرب,سكني,15,600,4000
الخبر,,حي اللؤلؤ,شرق,سكني,40,787,686
الرياض,غرب الرياض,حي ظهرة لبن,غرب,تجاري,30,900,1300
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,18,342,1900
الخبر,,حي الكوثر,جنوب,,20,920,750
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15,380,2900
الرياض,شرق الرياض,حي المعيزلة,شمال غربي,سكني,40,832,2200
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,20,6250,4600
الخبر,,حي الامواج,شرق,سكني,19,875,1050
تبوك,,حي الروضة,شمال,سكني,20,689,465
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,362,2400
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20,1104,679
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,586,3000
الدمام,,حي الشعلة,جنوب,سكني,60,1040,1550
الدرعية,,حي الخالدية,جنوب,سكني,20,500,3600
الرياض,غرب الرياض,حي نمار,غرب,سكني,20,750,826
الرياض,شرق الرياض,حي النهضة,3 شوارع,سكني,20,1800,2500
الرياض,شرق الرياض,حي النظيم,شمال,سكني,15,510,1080
الرياض,شمال الرياض,حي العقيق,3 شوارع,تجاري,30,2500,39000
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,36,400,1700
الرياض,غرب الرياض,حي ضاحية نمار,شمال شرقي,,20,900,722
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,5,494,3450
الرياض,شرق الرياض,حي اليرموك,شمال شرقي,سكني,20,2100,2700
المدينة المنورة,,حي الفتح,غرب,,20,400,4250
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,15,510,3900
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,25,1200,3500
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,18,498,3500
الرياض,شمال الرياض,حي النرجس,جنوب,سكني أو تجاري,36,875,3600
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني أو تجاري,60,3360,5000
الخرج,,حي الناصفة,جنوب شرقي,,50,63500,26
الرياض,شرق الرياض,حي الازدهار,غرب,سكني,15,625,3300
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,15,2250,3400
الرياض,شمال الرياض,حي العقيق,جنوب شرقي,سكني,20,687,3400
الرياض,شمال الرياض,حي النرجس,غرب,,20,900,2400
الرياض,شمال الرياض,حي النرجس,شمال شرقي,تجاري,30,900,3000
الرياض,شرق الرياض,حي القادسية,جنوب,سكني,15,875,2200
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15,360,1700
الخبر,,حي الكوثر,شرق,,20,1350,630
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,1237,4200
الدرعية,,حي الخالدية,3 شوارع,سكني,28,4875,3200
الرياض,شمال الرياض,حي الصحافة,شرق,تجاري,20,1200,7500
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,25,690,2900
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,811,2900
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,956,4000
المدينة المنورة,,حي كتانة,شمال,تجاري,100,666,900
الرياض,شرق الرياض,حي الرمال,3 شوارع,تجاري,40,3975,2700
بريدة,,حي الجامعيين,جنوب شرقي,سكني,20,510,315
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,625,2700
الرياض,شمال الرياض,حي حطين,جنوب غربي,سكني,15,4248,4600
الخبر,,حي المرجان,شمال,سكني,20,875,514
الرياض,جنوب الرياض,حي الشفا,جنوب شرقي,تجاري,25,875,3000
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15,1515,1800
بيش,,حي بيش,غرب,,25,142000,140
الرياض,شرق الرياض,حي القادسية,شمال شرقي,سكني,20,673,2100
الرياض,شمال الرياض,حي الغدير,غرب,سكني,20,750,4500
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,15,1050,2500
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,15,1050,3000
الزلفي,,حي السلام,غرب,سكني,30,408,318
الرياض,شمال الرياض,حي حطين,شمال,تجاري,40,900,4200
الرياض,شمال الرياض,حي العارض,جنوب,,15,520,2600
الرياض,شمال الرياض,حي بنبان,شمال,سكني,15,500,900
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,16,1800,2900
الرياض,شمال الرياض,حي المعذر الشمالي,شمال شرقي,سكني,14,1625,3000
المدينة المنورة,,حي عروة,3 شوارع,سكني أو تجاري,80,55480,1622
الرياض,غرب الرياض,حي المهدية,جنوب غربي,تجاري,40,1639,1600
المدينة المنورة,,حي الروابي,شمال,,100,4000,8500
رابغ,,حي الصبوح,شرق,سكني,20,883,226
جدة,شمال جدة,حي مشرفة,4 شوارع,سكني,10,2500,1800
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,588,2600
الظهران,,حي هجر,شمال غربي,سكني,25,1275,1900
الزلفي,,حي الفيصلية,غرب,سكني أو تجاري,20,1500,133
الخبر,,حي اشبيليا,شرق,تجاري,60,900,3300
نجران,,حي مخطط الصهبان,غرب,سكني أو تجاري,30,50000,100
الخبر,,حي الرجاء,غرب,,20,840,773
الرياض,شرق الرياض,حي المونسية,شرق,سكني,15,2130,2650
الرياض,جنوب الرياض,حي عريض,جنوب شرقي,سكني,15,901,499
جدة,شمال جدة,حي الزمرد,جنوب,سكني,32,1312,564
الرياض,غرب الرياض,حي السويدي,جنوب شرقي,سكني,16,529,1300
الرياض,شرق الرياض,حي النسيم الغربي,غرب,سكني,10,720,1600
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15,400,2700
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,15,375,2700
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25,14840,4100
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,17,3900,4500
الرياض,غرب الرياض,حي الخزامى,جنوب غربي,سكني,20,4400,4700
الرياض,غرب الرياض,حي الرفيعة,غرب,سكني,15,518,2350
الرياض,شمال الرياض,حي المروج,4 شوارع,سكني أو تجاري,35,5580,3400
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,420,3600
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني أو تجاري,30,1906,3148
الرياض,غرب الرياض,حي عرقة,غرب,تجاري,30,1125,3550
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,,30,1050,3300
الرياض,شمال الرياض,حي الندى,شرق,سكني,16,750,3400
الرياض,شمال الرياض,حي الربيع,جنوب شرقي,سكني,12,1323,3350
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20,350,800
الرياض,شرق الرياض,حي الخليج,جنوب,سكني,14,600,2200
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,30,1025,2850
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,880,3000
الرياض,غرب الرياض,حي ظهرة لبن,جنوب غربي,سكني أو تجاري,30,600,1500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,739,4000
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,15,3780,4500
جدة,شمال جدة,حي الياقوت,جنوب شرقي,,30,625,2240
الخبر,,حي الامواج,جنوب,سكني,19,551,907
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني أو تجاري,30,954,1600
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15,403,3300
الرياض,شمال الرياض,حي الصحافة,شمال,,35,780,6100
الرياض,غرب الرياض,حي ظهرة لبن,شمال غربي,تجاري,60,900,1350
الخبر,,حي التحلية,جنوب شرقي,سكني,20,351,1567
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,811,2800
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,20,975,3700
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,900,4000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,375,3200
الرياض,شمال الرياض,حي النفل,جنوب,سكني أو تجاري,15,2444,4500
الخبر,,حي التحلية,شمال,سكني,15,500,1550
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,1500,3200
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20,900,3900
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,765,3950
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15,500,4200
الرياض,غرب الرياض,حي المهدية,شرق,سكني,15,450,1555
جدة,شمال جدة,حي الصوارى,شرق,,30,588,1615
جدة,شمال جدة,حي الزمرد,شمال شرقي,سكني,25,900,388
بريدة,,حي المطار القديم,شمال,سكني,15,500,370
الدمام,,حي الأمل,شرق,تجاري,60,1800,1000
الرياض,شرق الرياض,حي المعيزلة,جنوب,,15,626,1500
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,60,8400,5000
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,20,19620,3250
الرياض,شمال الرياض,حي حطين,شرق,سكني,20,3500,5400
الرياض,شرق الرياض,حي الحمراء,جنوب,سكني,25,1125,3050
الرياض,شرق الرياض,حي المونسية,شرق,تجاري,60,900,2400
الرياض,شرق الرياض,حي الخليج,شرق,,5,1890,2500
الرياض,شرق الرياض,حي النظيم,غرب,سكني أو تجاري,40,750,1750
الرياض,غرب الرياض,حي الرائد,شمال,سكني,20,750,4300
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,687,3700
الرياض,شمال الرياض,حي بنبان,شمال,,20,750,733
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,956,3800
الرياض,غرب الرياض,حي ظهرة لبن,جنوب غربي,سكني أو تجاري,30,750,1330
الرياض,شمال الرياض,حي العقيق,جنوب شرقي,سكني,15,400,3800
الرياض,شرق الرياض,حي قرطبة,جنوب شرقي,سكني,15,1375,3300
الرياض,شمال الرياض,حي الغدير,جنوب غربي,سكني,20,1176,4500
جدة,شمال جدة,حي الشراع,جنوب شرقي,سكني,15,600,2333
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,1243,4200
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,1500,2900
الهفوف,,حي النايفية,شرق,,15,400,625
الدمام,,حي النزهة,شرق,سكني,15,338,1997
الرياض,شرق الرياض,حي الازدهار,4 شوارع,سكني,20,4032,3250
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,14,725,3200
الدرعية,,حي الخالدية,شمال,سكني,20,1150,3350
الزلفي,,حي السلام,شمال,سكني,25,450,333
الخبر,,حي الحمرا,شرق,,35,2740,3500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,28,2050,4200
الخبر,,حي العقيق,غرب,سكني,18,700,785
